,train_no,train_name,date,departure_station,departure_time,arrival_station,arrival_time,duration,CC,CC_STATUS,1A,1A_STATUS,EC,EC_STATUS,SL,SL_STATUS,3A,3A_STATUS,2A,2A_STATUS,2S,2S_STATUS
0,12986,DELHI S ROHILLA - JAIPUR AC Double Decker Exp,2021-12-16, DELHI SARAI ROHILLA ,17:35:00,JAIPUR,22:05:00,4 H 30 M,460.0,BOOKINGS CLOSED,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
1,12015,NEW DELHI - DAURAI Shatabdi Express,2021-12-16, NEW DELHI ,06:05:00,JAIPUR,10:40:00,4 H 35 M,690.0,BOOKINGS CLOSED,100000000,Not Available,1275.0,BOOKINGS CLOSED,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
2,12916,OLD DELHI - AHMEDABAD Ashram SF Express,2021-12-16, OLD DELHI ,15:20:00,JAIPUR,20:25:00,5 H 5 M,100000000.0,Not Available,1270,BOOKINGS CLOSED,100000000.0,Not Available,220,BOOKINGS CLOSED,555,BOOKINGS CLOSED,770,BOOKINGS CLOSED,100000000,Not Available
3,12461,OLD DELHI - JODHPUR Mandore SF Express,2021-12-16, OLD DELHI ,21:20:00,JAIPUR,02:35:00,5 H 15 M,100000000.0,Not Available,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
4,19032,HARIDWAR - AHMEDABAD Yoga Express,2021-12-16, OLD DELHI ,22:30:00,JAIPUR,04:10:00,5 H 40 M,100000000.0,Not Available,1315,RLWL5/WL3,100000000.0,Not Available,210,RLWL120/WL99,560,RLWL34/WL23,795,RLWL9/WL8,100000000,Not Available
5,12215,DELHI SARAI ROHILLA - MUMBAI BANDRA T Garib Rath Exp,2021-12-16, DELHI SARAI ROHILLA ,09:20:00,JAIPUR,14:10:00,4 H 50 M,100000000.0,Not Available,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,455,BOOKINGS CLOSED,100000000,Not Available,100000000,Not Available
6,14021,DELHI S ROHILLA - JAIPUR Express,2021-12-16, DELHI SARAI ROHILLA ,22:25:00,JAIPUR,08:00:00,9 H 35 M,100000000.0,Not Available,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
7,14662,JAT BME EXPRESS,2021-12-16,Not Available,11:00:00,Not Available,17:35:00,6 H 35 M,100000000.0,Not Available,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
8,14311,BAREILLY - BHUJ Ala Hazrat Exp (via Ahmedabad),2021-12-16, OLD DELHI ,11:50:00,JAIPUR,17:20:00,5 H 30 M,100000000.0,Not Available,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
9,20938,DEE PORBNDR SPL,2021-12-16,Not Available,08:10:00,Not Available,13:10:00,5 H 0 M,100000000.0,Not Available,100000000,Not Available,100000000.0,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available,100000000,Not Available
